first_name,last_name,team,position,hair_style,hair_color,skin_color,pro_bowl,nfl_icon,tattoo_left,tattoo_right,tendency,face_id,sleeves,left_hand,right_hand,left_wrist,right_wrist,left_elbow,right_elbow,left_knee,right_knee,left_shoe,right_shoe,neck_pad,mouthpiece,breathing_strip,eye_black,helmet,face_mask,visor,awareness,speed,acceleration,agility,strength,elusiveness,carrying,trucking,catching,jumping,throw_power,throw_accuracy_short,throw_accuracy_mid,throw_accuracy_deep,throw_on_the_run,playaction,pass_block,run_block,tackle,kick_power,kick_accuracy,kick_return,stamina,injury,run_block_power,run_block_finesse,pass_block_power,pass_block_finesse,break_tackle,toughness,handedness,jersey_number,height,weight,age,birthdate,years_pro,college,draft_round,draft_pick,contract_length,contract_years_left,total_salary,signing_bonus,role_one,role_two
Tim,Harris,49ers,CB,4,0,2,0,0,0,0,-1,-1,0,7,7,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,0,60,88,91,85,57,51,60,25,65,90,35,6,6,6,6,6,35,35,57,20,20,60,90,80,35,35,35,35,45,83,Right,35,73,205,24,7/31/1995,0,Virginia,6,38,4,4,2678308,158308,45,45
Dontae,Johnson,49ers,CB,5,0,2,0,0,6,5,-1,-1,0,5,5,2,2,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,1,62,91,92,91,58,66,61,33,60,89,25,6,6,6,6,21,45,45,56,18,19,55,90,92,45,45,45,45,-1,75,Right,48,74,200,27,12/1/1991,5,North Carolina State,4,33,1,1,805000,0,45,45
Kevin,Givens,49ers,DT,4,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right,60,73,285,22,3/1/1997,0,Penn State,15,63,3,3,1767000,37000,45,45
Jordan,Thompson,49ers,DT,4,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right,76,75,292,23,7/25/1996,0,Northwestern,15,63,1,1,570000,0,45,45
Jay,Bromley,49ers,DT,4,0,2,0,0,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,64,70,83,69,85,15,20,25,30,79,25,6,6,6,6,25,45,45,74,20,20,10,74,95,45,45,45,45,-1,75,Right,90,75,312,27,5/28/1992,5,Syracuse,3,10,1,1,805000,0,45,45
Arik,Armstead,49ers,DT,4,0,2,0,0,0,0,-1,-1,0,3,3,2,2,0,0,0,0,0,0,0,0,0,0,-1,-1,0,80,72,81,71,87,26,44,44,38,83,35,6,6,6,6,6,45,45,85,30,30,10,73,82,45,45,45,45,16,83,Right,91,79,291,25,11/15/1993,4,Oregon,1,17,5,1,9842628,9842628,45,45
D.J.,Jones,49ers,DT,2,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,0,70,71,81,77,87,24,31,43,38,71,24,6,6,6,6,6,45,45,77,23,19,9,82,92,46,45,44,45,19,89,Right,93,72,313,24,1/19/1995,2,Mississippi,6,38,4,2,2547868,147868,45,45
Sheldon,Day,49ers,DT,10,0,2,0,0,0,0,-1,-1,2,4,4,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,0,76,70,84,73,80,18,37,32,34,77,23,6,6,6,6,6,44,45,82,17,17,9,82,89,46,45,44,45,13,88,Right,96,73,290,25,7/1/1994,3,Notre Dame,4,7,4,1,2948412,608412,45,45
DeForest,Buckner,49ers,DT,4,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,91,73,83,84,86,28,44,45,40,80,22,6,6,6,6,6,46,45,86,20,19,11,92,91,44,45,46,44,13,88,Right,99,79,298,25,3/17/1994,3,Oregon,1,7,5,2,18190990,18190990,45,45
Kyle,Juszczyk,49ers,FB,7,2,0,1,0,0,0,-1,-1,0,5,5,2,2,8,8,0,0,0,0,0,0,0,0,-1,-1,1,83,81,87,84,79,68,76,85,73,89,35,20,15,10,10,10,63,70,45,19,19,45,89,93,61,58,42,38,64,87,Right,44,73,238,28,4/23/1991,6,Harvard,4,34,4,2,21000000,7000000,45,45
Adrian,Colbert,49ers,FS,9,2,2,0,0,1,0,-1,-1,0,4,4,2,2,0,-1,-1,-1,-1,-1,0,3,0,1,-1,-1,1,76,93,94,83,61,64,57,38,66,81,27,6,6,6,6,6,35,35,66,18,17,62,88,89,33,34,33,34,49,79,Right,27,74,208,25,10/6/1993,2,Miami (Fla.),7,37,4,2,2484800,84800,45,45
D.J.,Reed Jr,49ers,FS,5,0,2,0,0,0,0,-1,-1,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,58,90,92,90,52,75,57,29,70,87,22,15,10,5,6,6,35,35,60,14,10,85,85,88,35,35,35,35,61,75,Right,32,69,191,22,11/11/1996,1,Kansas State,5,14,4,3,2771372,311372,45,45
Tarvarius,Moore,49ers,FS,5,0,2,0,0,0,0,-1,-1,2,5,5,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,3,59,94,93,86,53,63,63,28,67,91,23,15,10,10,15,15,35,35,59,11,15,55,89,89,35,35,35,35,42,81,Right,33,74,200,23,8/16/1996,1,Southern Mississippi,3,31,4,3,3351372,784372,45,45
Antone,Exum Jr,49ers,FS,3,0,2,0,0,0,0,-1,-1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,69,88,89,88,65,70,55,25,66,83,21,6,6,6,6,6,35,35,63,29,21,50,88,81,35,35,35,35,55,76,Right,38,72,217,28,2/27/1991,5,Virginia Tech,6,22,1,1,855000,50000,45,45
Matt,Breida,49ers,HB,5,0,2,0,0,0,0,-1,-1,0,5,5,0,0,1,1,0,0,0,0,0,3,0,0,-1,-1,0,78,94,92,89,73,84,90,74,67,95,27,25,20,17,24,18,46,35,38,19,15,59,87,83,25,24,27,24,81,88,Right,22,71,193,24,2/28/1995,2,Georgia Southern,15,63,3,1,1670000,30000,45,45
Tevin,Coleman,49ers,HB,4,0,2,0,0,0,0,-1,-1,0,7,7,2,2,1,1,0,0,0,0,0,3,2,-1,-1,-1,3,82,94,92,93,68,82,86,77,67,84,37,15,10,5,10,10,58,44,35,16,17,77,90,82,35,34,44,40,75,84,Right,26,73,210,26,4/16/1993,4,Indiana,3,9,2,2,8500000,3250000,45,45
Jerick,McKinnon,49ers,HB,4,0,2,0,0,0,0,-1,-1,0,7,7,0,0,1,1,0,0,0,0,0,1,2,1,-1,-1,1,75,92,93,96,74,88,85,59,73,94,57,48,46,40,45,15,61,52,32,28,22,82,91,85,39,45,43,39,83,87,Right,28,69,205,27,5/3/1992,5,Georgia Southern,3,32,4,3,30000000,11700000,45,45
Raheem,Mostert,49ers,HB,3,0,2,0,0,0,0,-1,-1,0,5,5,0,0,0,0,0,0,0,0,0,3,0,0,-1,-1,0,78,93,94,87,67,79,77,63,62,91,30,35,30,20,15,15,52,50,41,25,25,85,89,86,32,30,25,20,76,81,Right,31,70,200,27,4/9/1992,4,Purdue,15,63,3,3,8650000,2400000,45,45
Austin,Walter,49ers,HB,5,0,2,0,0,3,0,-1,-1,0,7,7,0,0,0,0,0,0,0,0,0,1,2,1,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right,33,68,190,23,8/17/1996,0,Rice,15,63,3,3,1755000,0,45,45
Brandon,Wilds,49ers,HB,5,0,2,0,0,4,5,-1,-1,0,6,6,0,0,0,0,0,0,0,0,0,3,1,0,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right,35,72,220,26,7/22/1993,3,South Carolina,15,63,1,1,645000,0,45,45
Jeff,Wilson Jr,49ers,HB,5,0,2,0,0,6,0,-1,-1,0,7,7,2,2,1,1,0,0,0,0,0,2,0,0,-1,-1,0,70,87,89,84,72,70,79,84,66,84,30,26,21,16,18,15,55,32,35,18,12,82,88,81,20,20,38,33,76,83,Right,41,72,204,23,11/16/1995,1,North Texas,15,63,2,1,1050000,0,45,45
Robbie,Gould,49ers,K,6,2,0,0,0,0,0,-1,-1,1,0,0,5,5,0,0,0,0,0,0,0,0,0,0,-1,-1,0,75,58,64,52,25,27,40,10,15,27,29,35,30,25,20,20,16,20,23,94,92,10,75,90,16,16,16,16,17,65,Right,9,72,190,36,12/6/1982,14,Penn State,15,63,4,4,19000000,10500000,45,45
Dee,Ford,49ers,LE,3,0,2,1,0,0,0,-1,-1,0,2,2,3,3,0,0,0,0,0,0,0,0,0,1,-1,-1,0,88,85,86,87,84,36,50,28,45,85,25,6,6,6,6,6,45,45,80,14,12,10,86,86,45,45,45,45,21,86,Right,55,74,252,28,3/19/1991,5,Auburn,1,23,5,5,85000000,19750000,45,45
Damontre,Moore,49ers,LE,3,0,2,0,0,2,3,-1,-1,0,3,3,2,2,2,0,-1,-1,-1,-1,0,3,-1,-1,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right,56,76,260,26,9/11/1992,6,Texas A&M,3,17,1,1,805000,0,45,45
Jullian,Taylor,49ers,LE,4,0,2,0,0,7,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,74,88,72,89,27,47,52,40,77,23,6,6,6,6,6,45,45,79,16,12,10,83,78,45,45,45,45,31,85,Right,77,77,293,24,1/30/1995,1,Temple,7,31,4,3,2558044,98044,45,45
Kentavius,Street,49ers,LE,4,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,77,86,77,89,33,49,42,46,79,26,6,6,6,6,6,45,45,75,16,15,12,84,88,45,45,45,45,26,86,Right,95,74,287,23,5/8/1996,1,North Carolina State,4,32,4,3,3070200,610200,45,45
Ben,Garland,49ers,LG,7,4,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,65,78,62,82,10,45,34,40,84,34,6,6,6,6,6,66,75,65,14,14,15,81,92,67,76,65,67,5,89,Right,63,77,306,31,4/6/1988,9,Air Force,15,63,1,1,805000,520000,45,45
Mike,Person,49ers,LG,6,4,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69,68,81,58,79,25,40,10,32,45,11,6,6,6,6,15,78,74,30,18,18,10,74,90,74,82,74,81,-1,70,Right,68,76,303,31,6/17/1988,8,Montana State,7,47,3,3,8250000,2450000,45,45
Laken,Tomlinson,49ers,LG,5,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,81,66,81,61,87,10,25,15,20,81,20,6,6,6,6,6,76,81,35,20,20,10,85,92,78,83,78,71,5,84,Right,75,75,314,27,2/9/1992,4,Duke,1,28,4,3,16500000,6600944,45,45
Ross,Reynolds,49ers,LG,4,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right,76,76,300,23,9/14/1995,0,Iowa,15,63,3,3,1757000,35000,45,45
Azeez,Al-Shaair,49ers,LOLB,2,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right,46,74,228,22,8/4/1997,0,Florida Atlantic,15,63,3,3,1770000,65000,45,45
Malcolm,Smith,49ers,LOLB,3,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,85,85,79,73,64,40,40,72,84,27,6,6,6,6,6,45,45,83,20,20,11,82,85,45,45,45,45,49,75,Right,51,72,227,30,7/5/1989,8,USC,7,50,1,1,1350000,0,45,45
Mark,Nzeocha,49ers,LOLB,4,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,84,88,84,76,35,58,44,63,82,25,6,6,6,6,6,45,45,80,20,20,10,85,75,45,45,45,45,20,74,Right,53,75,237,29,1/19/1990,4,Wyoming,7,44,3,3,4750000,1250000,45,45
Daniel,Brunskill,49ers,LT,7,4,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47,66,77,65,79,42,49,39,53,71,27,6,6,6,6,6,64,59,33,21,20,10,83,91,58,61,62,66,32,88,Right,60,77,290,25,1/27/1994,2,San Diego State,15,63,1,1,495000,0,45,45
Justin,Skule,49ers,LT,7,2,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,64,77,66,83,18,22,24,28,65,18,6,6,6,6,6,62,64,32,20,22,10,80,87,61,65,60,63,8,85,Right,67,79,318,22,11/23/1996,0,Vanderbilt,6,23,4,4,2699548,179548,45,45
Joe,Staley,49ers,LT,7,2,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,91,74,82,74,92,25,61,10,62,78,18,6,6,6,6,6,89,94,25,20,22,10,94,90,95,92,84,90,15,86,Right,74,77,298,34,8/30/1984,12,Central Michigan,1,28,3,3,28000000,12800000,45,45
Shon,Coleman,49ers,LT,3,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,73,66,74,67,84,18,33,31,30,74,25,6,6,6,6,6,66,63,30,24,22,10,83,81,62,65,68,59,8,87,Right,78,77,310,27,11/25/1991,3,Auburn,3,12,4,1,3278816,787536,45,45
Kwon,Alexander,49ers,MLB,3,3,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,88,87,90,84,79,35,50,50,68,86,27,6,6,6,6,6,45,45,80,20,20,15,88,84,45,45,45,45,20,84,Right,56,73,227,25,8/3/1994,4,LSU,4,28,4,4,54000000,14250000,45,45
Dre,Greenlaw,49ers,MLB,3,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,83,86,80,72,39,55,40,58,80,20,6,6,6,6,6,45,45,84,18,12,10,82,85,45,45,45,45,22,86,Right,57,72,229,22,5/25/1997,0,Arkansas,5,20,4,4,2841712,321716,45,45
Mitch,Wishnowsky,49ers,P,9,4,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right,6,74,220,27,3/2/1992,0,Utah,4,14,4,4,3284072,764072,45,45
C.J.,Beathard,49ers,QB,7,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,78,81,77,64,56,60,48,30,83,82,83,72,76,76,78,21,14,28,20,15,5,92,86,19,19,21,21,59,90,Right,3,74,217,25,11/16/1993,2,Iowa,3,40,4,2,3528646,706288,45,45
Nick,Mullens,49ers,QB,7,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,74,76,85,74,57,56,59,42,34,76,84,85,79,78,81,79,16,28,26,18,13,10,93,85,20,20,25,15,49,98,Right,4,73,210,24,3/21/1995,2,Southern Mississippi,15,63,2,1,1050000,0,45,45
Wilton,Speight,49ers,QB,7,2,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right,5,78,235,24,12/6/1994,0,UCLA,15,63,3,3,1760000,20000,45,45
Jimmy,Garoppolo,49ers,QB,7,2,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,81,74,81,75,63,47,62,42,35,78,90,89,83,82,83,85,10,10,16,20,10,10,93,93,10,10,10,10,52,90,Right,10,74,225,27,11/2/1991,5,Eastern Illinois,2,30,5,4,137500000,48700000,45,45
Jamell,Garcia-Wllms.,49ers,RE,4,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right,71,80,260,22,1/24/1997,0,Alabama-Birmingham,15,63,3,3,1765000,90000,45,45
Jeremiah,Valoaga,49ers,RE,7,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right,78,78,275,24,11/15/1994,2,Nevada-Las Vegas,15,63,1,1,570000,0,45,45
Solomon,Thomas,49ers,RE,7,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71,83,87,80,87,20,40,30,32,84,18,6,6,6,6,6,45,45,79,16,11,10,84,96,45,45,45,45,10,88,Right,94,75,280,23,8/26/1995,2,Stanford,1,3,4,2,28154382,28154382,45,45
Nick,Bosa,49ers,RE,7,2,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,74,79,91,86,84,33,38,31,45,81,25,6,6,6,6,6,45,45,82,17,17,10,83,84,45,45,44,45,21,83,Right,97,76,266,21,10/23/1997,0,Ohio State,1,2,4,4,33551866,33551866,45,45
Ronald,Blair III,49ers,RE,5,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71,77,86,72,85,22,43,42,45,81,22,6,6,6,6,6,46,45,78,20,19,9,79,91,44,45,46,44,12,88,Right,98,76,270,26,1/21/1993,3,Appalachian State,5,14,4,1,2610404,270404,45,45
Joshua,Garnett,49ers,RG,4,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,62,77,66,84,14,43,31,33,72,21,6,6,6,6,6,66,65,38,20,20,8,91,90,64,66,65,68,8,81,Right,65,77,305,25,2/21/1994,3,Stanford,1,28,4,1,9304310,7585541,45,45
Najee,Toran,49ers,RG,4,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,59,79,53,77,14,38,20,32,61,24,5,5,5,5,5,64,61,35,17,13,11,81,86,62,61,63,65,8,84,Right,66,74,305,23,11/15/1995,1,UCLA,15,63,2,2,1230000,0,45,45
Elijah,Lee,49ers,ROLB,3,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,82,89,82,68,35,56,29,61,90,26,6,6,6,6,6,45,45,81,28,28,10,87,93,45,45,45,45,20,86,Right,47,74,230,23,2/8/1996,2,Kansas State,7,40,1,1,645000,0,45,45
LaRoy,Reynolds,49ers,ROLB,4,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61,84,89,76,82,35,60,44,60,87,30,6,6,6,6,6,45,45,78,20,20,10,85,88,45,45,45,45,20,76,Right,50,73,234,28,11/3/1990,6,Virginia,15,63,1,1,805000,0,45,45
Fred,Warner,49ers,ROLB,10,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,74,84,89,85,74,41,63,46,71,91,14,6,6,6,6,6,45,45,79,13,10,10,91,86,45,45,45,45,21,78,Left,54,75,233,22,11/19/1996,1,Brigham Young,3,6,4,3,3979325,1010188,45,45
David,Mayo,49ers,ROLB,9,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61,81,87,74,75,32,55,45,62,84,25,6,6,6,6,29,45,45,85,22,29,10,84,78,45,45,45,45,-1,82,Right,59,74,243,26,8/8/1993,4,Texas State,5,41,2,2,2500000,1100000,45,45
Sam,Young,49ers,RT,7,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,63,78,48,83,20,35,10,22,55,26,6,6,6,6,25,75,79,17,20,20,10,82,93,75,85,80,66,-1,68,Right,62,80,307,32,6/24/1987,9,Notre Dame,15,63,1,1,900000,0,45,45
Christian,DiLauro,49ers,RT,7,2,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,71,74,66,83,11,20,25,22,78,22,6,6,6,6,6,62,59,30,12,11,10,81,86,58,65,60,64,6,87,Right,64,78,300,24,11/11/1994,1,Illinois,15,63,2,2,1080000,0,45,45
Mike,McGlinchey,49ers,RT,7,4,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,70,79,74,89,11,33,22,28,71,11,6,6,6,6,6,79,90,32,15,12,10,86,94,91,87,80,77,11,95,Right,69,80,311,24,1/12/1995,1,Notre Dame,1,9,4,3,18341876,18341876,45,45
Willie,Beavers,49ers,RT,2,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,54,63,79,62,80,21,30,21,24,56,11,6,6,6,6,6,63,63,37,15,12,10,88,89,64,62,64,62,11,92,Right,71,77,323,25,10/2/1993,3,Western Michigan,4,25,2,2,1230000,0,45,45
Jaquiski,Tartt,49ers,SS,4,0,2,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71,89,90,80,65,42,62,57,64,83,21,6,6,6,6,23,45,45,67,19,22,35,85,92,45,45,45,45,-1,86,Right,29,73,218,27,2/12/1992,4,Samford,2,14,3,2,13000000,5521865,45,45
