Team,First Name,Last Name,Position,Awareness,Speed,Acceleration,Agility,Strength,Elusiveness,Carrying,Trucking,Catching,Jumping,Throw Power,Throw Accuracy Short,Throw Accuracy Mid,Throw Accuracy Deep,Throw on the Run,Throw Accuracy,Pass Block,Run Block,Pass Block Strength,Pass Block Footwork,Run Block Strength,Run Block Footwork,Tackle,Kick Power,Kick Accuracy,Kick Return,Stamina,Injury,Toughness
49ers,Glenn,Dorsey,LE,75,63,78,64,85,,40,30,25,65,25,6,6,6,,,45,45,,,,,87,20,20,10,79,88,95
49ers,Tony,Jerod-Eddie,LE,74,65,78,67,83,,45,55,35,77,35,10,10,10,,,45,45,,,,,79,30,30,10,78,91,72
49ers,Zane,Beadles,LG,83,59,70,55,83,,25,10,25,17,33,6,6,6,,,71,78,,,,,28,22,21,10,80,93,94
49ers,Ian,Silberman,LG,61,67,78,50,81,,40,20,30,76,25,6,6,6,,,74,83,,,,,25,24,22,10,79,87,85
49ers,Ahmad,Brooks,LOLB,79,78,83,74,83,,65,35,55,75,20,6,6,6,,,45,45,,,,,69,27,23,10,89,87,88
49ers,Tank,Carradine,LOLB,68,79,86,81,83,,50,54,45,78,20,6,6,6,,,45,45,,,,,81,19,15,10,80,81,84
49ers,Corey,Lemonier,LOLB,65,84,89,72,72,,54,45,50,82,20,6,6,6,,,45,45,,,,,73,20,20,10,86,90,74
49ers,Joe,Staley,LT,94,74,82,74,87,,61,10,62,78,18,6,6,6,,,89,86,,,,,25,20,22,10,94,90,86
49ers,John,Theus,LT,59,65,79,56,73,,29,30,25,76,23,6,6,6,,,72,77,,,,,38,22,21,10,85,92,90
49ers,Nick,Bellore,MLB,72,77,83,72,77,,50,45,40,65,25,6,6,6,,,45,45,,,,,86,20,20,10,82,87,75
49ers,NaVorro,Bowman,MLB,89,83,86,83,79,,50,10,65,75,22,6,6,6,,,45,45,,,,,92,10,10,10,91,87,75
49ers,Gerald,Hodges Jr.,MLB,64,78,84,85,70,,65,45,61,78,25,6,6,6,,,45,45,,,,,87,20,20,10,92,88,85
49ers,Shayne,Skov,MLB,66,72,82,77,80,,55,45,57,81,20,6,6,6,,,45,45,,,,,82,14,17,10,92,78,94
49ers,Michael,Wilhoite,MLB,75,79,84,81,72,,62,50,59,87,25,6,6,6,,,45,45,,,,,84,20,20,10,86,90,80
49ers,Bradley,Pinion,P,60,66,73,62,55,,40,15,39,70,52,51,42,32,,,25,29,,,,,35,91,85,10,85,92,55
49ers,Jeff,Driskel,QB,62,85,86,82,68,,68,62,36,74,91,77,71,65,,,17,21,,,,,24,21,20,11,91,89,85
49ers,Blaine,Gabbert,QB,71,82,82,72,60,,50,25,28,72,88,85,81,76,,,24,25,,,,,26,22,22,10,88,90,89
49ers,Colin,Kaepernick,QB,70,85,87,91,63,,75,37,53,84,94,78,78,73,,,30,28,,,,,42,25,20,25,96,92,94
49ers,Thad,Lewis,QB,65,74,83,74,64,,65,45,50,73,88,77,73,72,,,25,25,,,,,39,35,24,25,86,88,75
49ers,Ronald,Blair III,RE,48,77,85,65,84,,43,42,59,85,22,6,6,6,,,46,45,,,,,78,20,19,9,79,91,88
49ers,DeForest,Buckner,RE,71,71,81,83,79,,44,45,48,84,22,6,6,6,,,46,45,,,,,86,20,19,11,84,91,88
49ers,Quinton,Dial,RE,81,61,73,63,87,,39,25,40,66,36,6,6,6,,,45,45,,,,,80,20,20,10,71,85,69
49ers,Joshua,Garnett,RG,72,62,77,57,84,,43,31,33,67,21,6,6,6,,,78,81,,,,,38,20,20,8,91,90,81
49ers,Brandon,Thomas,RG,52,68,79,55,93,,40,20,32,78,19,6,6,6,,,73,79,,,,,31,17,35,10,83,76,69
49ers,Andrew,Tiller,RG,68,53,65,52,79,,45,20,35,65,30,6,6,6,,,79,84,,,,,39,25,25,10,69,91,91
49ers,Ray-Ray,Armstrong,ROLB,68,80,86,81,65,,62,51,65,83,34,6,6,6,,,45,45,,,,,77,28,28,10,84,90,74
49ers,Jason,Fanaika,ROLB,55,76,84,74,85,,42,33,38,84,22,6,6,6,,,46,45,,,,,74,20,19,9,77,84,80
49ers,Eli,Harold,ROLB,61,85,88,83,77,,55,43,53,85,25,6,6,6,,,45,45,,,,,77,20,20,10,83,92,78
49ers,Aaron,Lynch,ROLB,82,82,88,74,76,,45,40,49,76,10,6,6,6,,,45,45,,,,,78,25,21,10,77,88,69
49ers,Trent,Brown,RT,59,62,74,43,90,,32,35,35,75,25,6,6,6,,,74,73,,,,,40,20,20,10,66,85,76
49ers,Fahn,Cooper,RT,61,67,78,51,78,,38,23,22,64,30,6,6,6,,,72,74,,,,,36,22,21,10,87,89,86
49ers,Anthony,Davis,RT,75,58,77,65,90,,40,10,25,74,25,6,6,6,,,83,79,,,,,39,28,15,11,76,78,87
49ers,Erik,Pears,RT,76,61,69,86,84,,40,10,10,51,33,6,6,6,,,74,72,,,,,17,16,26,10,88,92,93
49ers,Jered,Bell,SS,44,90,89,87,79,,61,45,63,78,27,15,10,10,,,44,44,,,,,70,21,18,42,88,84,76
49ers,Antoine,Bethea,SS,72,86,87,82,65,,65,39,68,86,12,15,10,10,,,45,45,,,,,73,14,14,65,90,96,75
49ers,Jaquiski,Tartt,SS,62,89,90,80,65,,62,57,64,83,21,6,6,6,,,45,45,,,,,66,19,22,35,85,92,86
49ers,Busta,Anderson,TE,45,81,86,83,62,,68,59,72,84,35,15,10,6,,,54,66,,,,,42,30,30,35,84,69,72
49ers,Blake,Bell,TE,38,79,82,82,70,,81,84,73,82,79,67,64,62,,,73,78,,,,,35,17,18,10,83,77,78
49ers,Garrett,Celek,TE,71,79,84,76,73,,68,64,76,83,30,15,10,6,,,80,85,,,,,35,15,15,35,84,80,76
49ers,Je'Ron,Hamm,TE,55,83,83,82,67,,72,71,68,87,20,15,10,6,,,52,68,,,,,32,10,15,35,85,92,85
49ers,Vance,McDonald,TE,67,81,84,76,83,,75,77,78,84,35,35,33,32,,,77,82,,,,,42,15,14,25,91,88,73
49ers,Kyle,Nelson,TE,66,81,84,70,68,,70,19,60,66,10,10,10,10,,,62,52,,,,,45,11,14,10,77,92,75
49ers,Dres,Anderson,WR,62,87,89,88,65,,69,33,80,87,35,35,35,30,,,25,40,,,,,25,20,22,69,87,75,72
49ers,Aaron,Burbridge,WR,51,89,89,86,74,,70,69,74,86,27,15,10,6,,,42,54,,,,,29,23,22,35,88,90,81
49ers,Devon,Cajuste,WR,43,89,92,85,70,,64,55,80,85,35,15,10,6,,,33,45,,,,,31,23,22,65,88,87,82
49ers,Bruce,Ellington,WR,63,90,87,94,56,,68,46,84,90,35,25,20,15,,,40,42,,,,,25,30,30,89,94,91,86
49ers,Quinton,Patton,WR,63,87,90,88,44,,73,43,77,84,33,15,10,6,,,45,51,,,,,30,66,56,77,88,90,73
49ers,Jerome,Simpson,WR,63,86,91,91,56,,59,45,77,97,40,15,10,6,,,30,56,,,,,25,30,30,77,94,92,76
49ers,DeAndre,Smelter,WR,48,87,88,88,70,,72,67,79,85,29,15,10,6,,,50,63,,,,,40,19,15,40,85,73,82
49ers,Torrey,Smith,WR,77,91,92,90,60,,70,43,80,92,35,26,22,24,,,43,59,,,,,35,20,20,70,95,93,85
49ers,DeAndrew,White,WR,62,90,92,93,55,,68,33,79,86,34,15,10,6,,,32,45,,,,,25,21,20,75,88,71,72
Bears,Hroniss,Grasu,C,73,71,84,68,78,,40,20,25,69,20,6,6,6,,,74,74,,,,,25,23,21,10,83,87,85
Bears,Brandon,Boykin,CB,66,88,92,91,47,,65,30,62,92,36,6,6,6,,,45,45,,,,,61,25,25,78,92,82,77
Bears,Taveze,Calhoun,CB,60,87,89,81,51,,40,36,64,80,36,6,6,6,,,45,45,,,,,45,26,26,49,89,86,65
Bears,Bryce,Callahan,CB,63,94,93,87,62,,59,27,66,96,36,6,6,6,,,45,45,,,,,39,24,21,65,87,88,81
Bears,Kyle,Fuller,CB,81,91,92,90,57,,66,36,78,91,36,6,6,6,,,45,45,,,,,67,19,19,50,94,88,87
Bears,Jacoby,Glenn,CB,52,84,90,84,63,,53,26,52,87,10,6,6,6,,,35,35,,,,,55,15,12,43,88,89,68
Bears,Deiondre',Hall,CB,47,88,88,94,63,,63,26,72,91,27,6,6,6,,,13,18,,,,,56,18,17,78,89,88,77
Bears,Sherrick,McManis,CB,75,86,88,85,55,,65,25,55,94,21,6,6,6,,,45,45,,,,,59,22,19,74,94,76,75
Bears,Kevin,Peterson,CB,50,86,92,85,60,,40,10,52,84,17,6,6,6,,,25,25,,,,,40,21,24,55,89,86,70
Bears,Tracy,Porter,CB,79,88,91,87,47,,72,30,68,90,40,6,6,6,,,45,45,,,,,45,25,25,72,94,76,57
Bears,Kenton,Adeyemi,DT,43,75,82,68,85,,41,29,36,75,23,6,6,6,,,44,44,,,,,76,17,17,9,80,85,80
Bears,Eddie,Goldman,DT,75,63,74,56,83,,40,25,25,74,21,6,6,6,,,45,45,,,,,85,24,18,10,82,85,84
Bears,Paul,Lasike,FB,48,77,87,77,67,,76,77,62,80,35,20,15,10,,,60,63,,,,,45,25,25,50,84,90,82
Bears,Adrian,Amos,FS,72,93,92,84,73,,65,40,60,86,30,15,10,10,,,45,45,,,,,54,25,25,35,88,92,66
Bears,DeAndre,Houston-Carson,FS,49,88,89,91,67,,61,48,69,86,26,6,6,6,,,14,24,,,,,77,20,19,31,90,89,86
Bears,Harold,Jones-Quartey,FS,65,86,90,88,72,,53,33,55,88,25,6,6,6,,,45,45,,,,,65,15,15,45,90,94,87
Bears,Ka'Deem,Carey,HB,63,84,88,83,67,,83,82,63,79,34,35,30,20,,,49,45,,,,,29,25,25,70,94,90,85
Bears,Jordan,Howard,HB,54,86,86,85,68,,86,84,51,86,28,22,18,16,,,59,40,,,,,39,21,20,42,84,85,76
Bears,Jeremy,Langford,HB,69,91,91,81,71,,89,82,57,84,26,30,25,15,,,60,45,,,,,46,14,14,58,90,88,70
Bears,Senorise,Perry,HB,51,92,89,92,67,,75,44,62,87,32,35,34,31,,,47,40,,,,,25,20,19,81,86,83,84
Bears,Jacquizz,Rodgers,HB,78,86,88,91,62,,84,80,67,75,25,35,30,20,,,76,35,,,,,25,10,10,81,88,87,85
Bears,Robbie,Gould,K,64,55,54,52,25,,40,10,15,27,29,35,30,25,,,16,20,,,,,23,94,86,10,75,90,65
Bears,Akiem,Hicks,LE,79,63,79,67,82,,35,20,36,81,26,6,6,6,,,45,45,,,,,85,25,25,10,83,93,73
Bears,Roy,Robertson-Harris,LE,45,78,81,69,80,,20,46,20,83,35,6,6,6,,,45,45,,,,,80,30,30,10,82,87,85
Bears,Will,Sutton,LE,74,59,80,55,82,,45,25,40,77,14,6,6,6,,,45,45,,,,,72,17,11,10,77,87,74
Bears,Cornelius,Washington,LE,50,85,87,75,88,,65,65,56,89,20,6,6,6,,,45,45,,,,,74,37,30,10,72,84,75
Bears,Ted,Larsen,LG,71,62,76,65,79,,30,20,25,54,30,6,6,6,,,71,76,,,,,37,22,21,10,83,92,85
Bears,Cody,Whitehair,LG,67,72,82,63,74,,33,28,24,64,21,6,6,6,,,76,79,,,,,31,20,20,8,88,90,89
Bears,Pernell,McPhee,LOLB,91,76,81,79,92,,40,10,34,67,12,6,6,6,,,45,45,,,,,83,10,18,10,91,87,87
Bears,Willie,Young,LOLB,85,74,81,71,78,,25,19,38,84,17,6,6,6,,,45,45,,,,,74,21,20,10,84,90,77
Bears,Charles,Leno Jr.,LT,74,63,77,64,81,,24,25,25,72,10,6,6,6,,,72,76,,,,,35,11,15,10,84,90,75
Bears,Jason,Weaver,LT,57,56,77,53,88,,40,24,27,66,11,5,5,5,,,74,77,,,,,33,15,12,10,78,88,79
Bears,Jonathan,Anderson,MLB,69,86,87,84,79,,57,48,56,84,30,15,10,10,,,45,45,,,,,78,20,15,30,87,90,83
Bears,Lamin,Barrow,MLB,58,84,88,86,76,,60,20,50,85,25,6,6,6,,,45,45,,,,,78,20,20,10,87,93,77
Bears,Jerrell,Freeman,MLB,88,80,80,79,70,,45,49,70,78,30,6,6,6,,,45,45,,,,,90,20,20,6,94,92,75
Bears,Christian,Jones,MLB,77,80,88,84,71,,59,45,61,83,15,6,6,6,,,45,45,,,,,80,14,12,10,86,94,83
Bears,Nick,Kwiatkoski,MLB,54,81,87,87,73,,42,31,58,83,25,6,6,6,,,26,28,,,,,84,22,29,12,85,90,84
Bears,John,Timu,MLB,66,79,87,75,85,,63,25,66,78,20,6,6,6,,,45,45,,,,,75,20,20,10,90,88,87
Bears,Danny,Trevathan,MLB,86,80,86,78,67,,45,28,73,82,20,6,6,6,,,45,45,,,,,94,37,30,10,92,94,85
Bears,Pat,O'Donnell,P,66,83,87,75,65,,44,15,34,78,49,30,30,25,,,10,20,,,,,24,91,86,10,87,85,65
Bears,Jay,Cutler,QB,77,73,78,68,69,,56,35,35,69,97,85,84,78,,,26,19,,,,,26,25,20,10,90,90,83
Bears,David,Fales,QB,54,72,80,64,57,,58,43,35,72,83,83,81,68,,,15,20,,,,,30,25,25,10,92,92,85
Bears,Brian,Hoyer,QB,73,67,74,67,60,,60,23,25,69,90,82,80,77,,,12,18,,,,,19,15,18,10,88,86,70
Bears,Connor,Shaw,QB,51,82,81,82,51,,70,42,46,84,80,74,75,68,,,26,25,,,,,36,25,20,10,94,83,86
Bears,Jonathan,Bullard,RE,58,75,86,76,76,,26,38,39,84,22,6,6,6,,,31,38,,,,,82,21,19,9,82,89,87
Bears,Ego,Ferguson,RE,68,68,82,59,83,,45,45,44,75,19,6,6,6,,,45,45,,,,,78,25,21,10,79,89,76
Bears,Mitch,Unrein,RE,71,72,83,63,84,,40,10,25,60,23,6,6,6,,,45,45,,,,,80,13,12,10,77,88,84
Bears,Kyle,Long,RG,76,72,83,69,84,,45,35,40,70,67,6,6,6,,,78,87,,,,,55,14,14,15,90,89,91
Bears,Sam,Acho,ROLB,74,80,83,74,71,,40,40,52,75,14,6,6,6,,,45,45,,,,,83,13,20,10,86,88,82
Bears,Leonard,Floyd,ROLB,65,86,88,85,71,,41,27,48,92,22,6,6,6,,,24,24,,,,,83,21,19,12,86,88,83
Bears,Lamarr,Houston,ROLB,84,76,84,72,85,,40,20,46,75,20,6,6,6,,,45,45,,,,,82,20,20,10,91,87,72
Bears,Nick,Becton,RT,57,64,79,65,76,,40,25,27,74,33,6,6,6,,,76,73,,,,,30,21,11,10,80,90,65
Bears,Bobby,Massie,RT,73,64,76,66,83,,40,42,40,76,10,6,6,6,,,72,83,,,,,30,8,7,10,82,90,91
Bears,Martin,Wallace,RT,60,56,79,50,83,,40,20,40,75,30,6,6,6,,,72,80,,,,,35,25,25,10,76,90,87
Bears,Deon,Bush,SS,58,87,91,82,71,,62,53,64,93,27,15,10,10,,,14,24,,,,,67,21,18,42,88,89,83
Bears,Demontre,Hurst,SS,64,87,90,86,42,,59,22,55,88,30,6,6,6,,,45,45,,,,,50,20,20,55,87,92,69
Bears,Chris,Prosinski,SS,61,89,89,81,56,,65,55,57,93,35,15,10,10,,,45,45,,,,,72,15,19,45,87,93,74
Bears,Aaron,Brewer,TE,67,71,83,65,68,,50,50,55,73,14,6,6,6,,,67,54,,,,,55,13,13,10,84,92,69
Bears,Rob,Housler,TE,61,84,87,82,62,,72,54,74,82,35,15,10,6,,,50,70,,,,,36,22,22,45,85,89,55
Bears,Khari,Lee,TE,66,76,85,80,70,,71,65,74,88,25,15,10,6,,,43,65,,,,,44,15,19,8,87,86,85
Bears,Zach,Miller,TE,75,84,88,81,64,,74,65,84,84,70,63,61,57,,,75,69,,,,,25,20,20,30,78,82,77
Bears,Tony,Moeaki,TE,67,79,86,77,65,,75,65,80,74,31,15,10,6,,,50,68,,,,,30,15,16,8,85,69,88
Bears,Patrick,Scales,TE,62,66,78,71,69,,65,34,57,77,38,6,6,6,,,69,42,,,,,56,13,13,10,81,90,75
Bears,Greg,Scruggs,TE,58,78,82,65,81,,62,44,68,74,10,6,6,6,,,58,60,,,,,73,21,20,10,66,90,85
Bears,Joe,Sommers,TE,43,84,86,78,80,,70,68,76,85,30,15,10,6,,,50,58,,,,,42,21,19,18,85,87,81
Bears,Joshua,Bellamy,WR,72,87,89,86,63,,75,49,76,88,40,10,10,10,,,45,58,,,,,39,30,22,72,86,92,76
Bears,Daniel,Braverman,WR,53,88,89,92,65,,62,26,81,81,27,15,10,6,,,38,46,,,,,25,23,22,76,87,88,79
Bears,Alshon,Jeffery,WR,90,90,87,87,79,,73,75,96,91,29,15,10,6,,,45,64,,,,,35,18,18,20,90,91,88
Bears,Marc,Mariani,WR,79,86,87,91,55,,78,52,81,82,33,15,10,6,,,32,40,,,,,32,17,26,91,93,87,82
Bears,Cameron,Meredith,WR,55,89,93,85,66,,68,54,74,89,29,15,10,6,,,45,47,,,,,35,18,18,20,88,87,85
Bears,Eddie,Royal,WR,80,89,93,94,46,,73,45,85,87,35,15,10,6,,,30,61,,,,,25,30,30,88,91,90,72
Bears,Deonte,Thompson,WR,62,91,92,89,67,,64,47,71,88,20,15,10,6,,,35,44,,,,,38,10,15,80,85,86,61
Bears,Kevin,White,WR,53,93,92,88,75,,69,69,88,87,35,15,10,10,,,44,49,,,,,42,20,20,62,89,92,82
Bears,Marquess,Wilson,WR,75,87,92,86,47,,74,37,82,93,38,15,15,15,,,43,57,,,,,29,19,19,45,88,92,84
Bengals,Russell,Bodine,C,78,65,82,52,97,,32,19,30,78,15,6,6,6,,,72,70,,,,,29,21,22,10,83,93,85
Bengals,T.J.,Johnson,C,65,59,76,52,86,,45,20,45,65,30,6,6,6,,,75,76,,,,,35,25,25,10,80,92,70
Bengals,Alex,Redmond,C,50,64,77,70,86,,45,20,40,69,30,6,6,6,,,70,69,,,,,30,25,25,10,77,78,80
Bengals,Chykie,Brown,CB,68,86,89,89,45,,60,10,54,93,14,6,6,6,,,45,45,,,,,49,18,22,60,89,83,74
Bengals,Darqueze,Dennard,CB,69,90,89,87,57,,63,15,72,88,25,6,6,6,,,45,45,,,,,71,15,16,40,95,87,85
Bengals,Darius,Hillary,CB,44,87,90,90,69,,61,25,61,83,25,6,6,6,,,19,28,,,,,54,10,11,45,88,88,65
Bengals,William,Jackson III,CB,64,93,93,88,64,,68,26,72,92,31,6,6,6,,,19,26,,,,,53,18,17,56,91,88,76
Bengals,Adam,Jones,CB,92,86,91,90,48,,65,39,76,91,24,10,10,10,,,45,45,,,,,58,14,18,89,89,87,85
Bengals,Dre,Kirkpatrick,CB,81,87,90,85,65,,58,50,68,87,14,6,6,6,,,45,55,,,,,56,14,12,35,95,85,76
Bengals,Chris,Lewis-Harris,CB,62,88,87,89,57,,62,15,58,87,24,6,6,6,,,45,45,,,,,57,18,22,65,88,92,71
Bengals,Josh,Shaw,CB,59,90,91,83,75,,65,39,62,88,35,6,6,6,,,45,45,,,,,69,25,25,60,89,78,75
Bengals,Geno,Atkins,DT,93,77,82,71,89,,40,30,25,75,25,6,6,6,,,45,45,,,,,78,20,20,10,90,85,80
Bengals,Andrew,Billings,DT,57,74,81,68,89,,28,43,26,72,24,6,6,6,,,27,37,,,,,77,23,19,9,79,88,78
Bengals,David,Dean,DT,45,68,84,73,89,,41,29,36,75,23,6,6,6,,,44,44,,,,,79,17,17,9,88,88,85
Bengals,Marcus,Hardison,DT,47,75,84,70,82,,52,45,45,76,48,46,42,39,,,45,45,,,,,76,20,20,10,78,87,73
Bengals,Domata,Peko,DT,80,57,71,57,87,,40,30,25,62,27,6,6,6,,,50,66,,,,,71,33,30,10,73,92,84
Bengals,Pat,Sims,DT,76,65,78,61,89,,40,20,28,64,25,6,6,6,,,45,45,,,,,81,20,20,10,75,87,88
Bengals,Brandon,Thompson,DT,64,63,78,58,91,,40,24,25,78,29,6,6,6,,,45,45,,,,,78,26,18,12,66,90,86
Bengals,Ryan,Hewitt,FB,76,76,85,78,66,,77,65,68,82,19,6,15,10,,,71,70,,,,,39,19,19,11,85,93,79
Bengals,George,Iloka,FS,81,86,90,87,67,,66,56,73,85,30,15,10,10,,,45,45,,,,,65,20,15,30,88,95,73
Bengals,Derron,Smith,FS,55,85,89,85,70,,64,54,76,84,50,45,44,35,,,45,45,,,,,54,20,20,74,89,81,75
Bengals,Jimmy,Wilson,FS,66,85,85,85,54,,56,25,66,87,30,6,6,6,,,45,45,,,,,60,15,15,35,88,91,79
Bengals,Giovani,Bernard,HB,86,89,92,95,59,,89,57,70,83,30,35,30,20,,,53,44,,,,,35,23,15,83,94,84,66
Bengals,Rex,Burkhead,HB,68,80,88,88,68,,77,66,70,91,34,45,40,42,,,62,54,,,,,44,28,26,65,96,87,88
Bengals,Tra,Carson,HB,43,84,87,82,77,,76,81,70,87,31,30,25,15,,,52,45,,,,,33,21,20,62,88,90,90
Bengals,Jeremy,Hill,HB,84,87,90,85,78,,81,89,65,80,32,35,30,20,,,69,50,,,,,45,20,22,25,82,94,84
Bengals,Cedric,Peerman,HB,74,90,95,89,75,,75,52,63,91,20,35,30,20,,,46,29,,,,,32,14,14,64,88,84,84
Bengals,Zach,Hocker,K,47,74,70,65,35,,40,10,29,64,29,35,30,25,,,19,21,,,,,21,90,79,10,85,95,60
Bengals,Mike,Nugent,K,66,74,62,52,34,,40,10,16,32,28,35,30,25,,,17,16,,,,,25,91,87,10,92,90,65
Bengals,Ryan,Brown,LE,41,77,81,73,79,,40,55,40,70,24,6,6,6,,,45,45,,,,,77,15,17,10,85,90,80
Bengals,Carlos,Dunlap,LE,84,80,85,82,79,,40,35,39,84,9,6,6,6,,,45,45,,,,,82,8,10,10,89,86,65
Bengals,Margus,Hunt,LE,56,84,86,76,87,,55,75,60,84,70,45,40,35,,,45,45,,,,,73,45,40,10,79,85,88
Bengals,Clint,Boling,LG,85,60,77,53,86,,40,25,22,25,29,6,6,6,,,78,88,,,,,33,9,14,10,81,97,93
Bengals,Alex,Cooper,LG,42,64,74,60,78,,25,10,12,69,25,6,6,6,,,71,79,,,,,32,22,21,10,85,89,92
Bengals,Christian,Westerman,LG,58,68,80,75,84,,29,33,28,61,24,6,6,6,,,74,75,,,,,31,20,20,9,87,89,84
Bengals,Karlos,Dansby,LOLB,87,78,82,74,83,,65,40,74,67,12,6,6,6,,,45,45,,,,,90,14,9,10,88,89,87
Bengals,Jayson,DiManche,LOLB,65,86,88,76,71,,63,54,48,88,33,6,6,6,,,45,45,,,,,74,20,19,10,90,91,75
Bengals,Trevor,Roach,LOLB,56,79,88,85,77,,44,25,51,87,22,6,6,6,,,45,45,,,,,74,16,20,10,84,86,78
Bengals,Cedric,Ogbuehi,LT,67,73,76,70,82,,25,15,25,74,30,6,6,6,,,81,79,,,,,25,25,25,10,88,74,73
Bengals,Andrew,Whitworth,LT,91,60,71,54,93,,40,40,24,53,35,6,6,6,,,95,94,,,,,37,20,28,13,90,90,88
Bengals,Rey,Maualuga,MLB,87,82,87,76,82,,60,10,68,68,10,6,6,6,,,45,45,,,,,89,25,21,10,93,89,95
Bengals,Vincent,Rey,MLB,76,82,86,77,67,,62,40,59,75,22,6,6,6,,,45,45,,,,,90,22,25,10,90,93,79
Bengals,Nick,Vigil,MLB,60,83,86,78,66,,40,29,55,83,23,5,5,5,,,29,31,,,,,87,23,26,12,86,90,91
Bengals,Kevin,Huber,P,62,68,69,64,55,,35,10,31,39,42,30,30,25,,,19,22,,,,,22,88,86,10,90,95,50
Bengals,Andy,Dalton,QB,88,75,79,71,54,,67,23,62,66,90,92,92,86,,,13,14,,,,,15,12,19,10,91,96,94
Bengals,Joe,Licata,QB,50,75,80,77,60,,68,62,42,75,81,80,74,71,,,21,32,,,,,39,24,20,19,90,90,85
Bengals,A.J.,McCarron,QB,71,74,80,64,52,,69,33,35,70,86,85,83,74,,,14,11,,,,,20,15,12,10,92,94,89
Bengals,Keith,Wenning,QB,53,71,80,74,55,,67,34,39,77,86,78,77,73,,,14,11,,,,,20,15,12,10,93,88,87
Bengals,Will,Clarke,RE,61,79,87,72,76,,35,29,38,78,17,6,6,6,,,45,45,,,,,76,21,20,10,78,87,86
Bengals,Michael,Johnson,RE,80,81,88,80,73,,40,50,45,87,20,6,6,6,,,45,45,,,,,80,25,15,10,84,88,70
Bengals,Trey,Hopkins,RG,54,63,77,48,87,,40,15,45,72,30,6,6,6,,,74,82,,,,,35,25,25,10,75,91,74
