team,first_name,last_name,position,awareness,speed,acceleration,agility,strength,elusiveness,carrying,trucking,catching,jumping,throw_power,throw_accuracy_short,throw_accuracy_mid,throw_accuracy_deep,throw_on_the_run,throw_accuracy,pass_block,run_block,pass_block_power,pass_block_finesse,run_block_power,run_block_finesse,tackle,kick_power,kick_accuracy,kick_return,stamina,injury,toughness,handedness,jersey_number,height,weight,age,birthdate,years_pro,college,draft_round,draft_pick,contract_length,contract_years_left,total_salary,signing_bonus,role_one,role_two,pro_bowl,nfl_icon,hair_style,hair_color,skin_color,tattoo_left,tattoo_right,tendency,face_id,sleeves,left_hand,right_hand,left_wrist,right_wrist,left_elbow,right_elbow,left_knee,right_knee,left_shoe,right_shoe,neck_pad,mouthpiece,breathing_strip,eye_black,helmet,face_mask,visor
49ers,Leger,Douzable,DT,80,60,72,64,85,12,40,20,25,71,26,6,6,6,6,26,45,45,45,45,45,45,83,25,25,6,66,91,75,Right,92,76,284,31,5/31/1986,10,Central Florida,15,63,1,1,900000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,D.J.,Jones,DT,50,71,82,77,89,24,31,43,38,71,24,6,6,6,6,18,45,45,44,45,46,45,75,23,19,9,82,92,89,Right,93,72,321,22,1/19/1995,1,Mississippi,6,38,4,4,2547868,147868,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Earl,Mitchell,DT,73,78,89,71,80,30,55,44,42,82,20,6,6,6,6,20,45,45,45,45,45,45,78,20,20,10,80,88,75,Right,90,75,310,30,9/25/1987,8,Arizona,3,17,4,4,16000000,4650000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Solomon,Thomas,DT,66,83,87,80,91,20,40,30,32,84,18,6,6,6,6,12,45,45,45,45,45,45,82,16,11,10,84,97,88,Right,94,75,265,22,12/20/1995,1,Stanford,1,3,4,4,28154382,28154382,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Kyle,Juszczyk,FB,85,82,88,78,79,68,77,84,70,89,35,20,15,10,10,32,79,71,60,66,66,64,45,19,19,45,89,93,87,Right,44,73,240,26,4/23/1991,5,Harvard,4,34,4,4,21000000,7000000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Antone,Exum Jr,FS,65,89,90,89,62,70,55,25,65,83,21,6,6,6,6,21,45,45,45,45,45,45,63,29,21,50,88,81,76,Right,40,72,219,26,2/27/1991,4,Virginia Tech,6,22,1,1,615000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Don,Jones,FS,60,91,92,90,67,65,60,25,56,97,20,15,10,10,15,14,45,45,45,45,45,45,68,25,15,40,88,91,69,Right,20,71,195,27,5/14/1990,5,Arkansas State,7,58,2,2,2200000,750000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Dexter,McCoil,FS,61,86,92,86,58,70,59,52,66,81,23,18,16,13,24,31,38,38,35,35,40,42,68,19,21,67,89,91,90,Right,27,76,220,26,9/5/1991,5,Tulsa,15,63,3,2,1620000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Jimmie,Ward,FS,77,90,91,88,53,49,65,61,69,89,28,6,6,6,6,27,45,45,45,45,45,45,71,23,19,35,90,93,83,Right,25,71,193,26,7/18/1991,4,Northern Illinois,1,30,5,2,7112529,5722639,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Matt,Breida,HB,72,93,92,89,73,78,86,65,64,95,27,25,20,20,15,25,45,35,45,45,35,35,38,19,15,59,87,89,82,Right,22,71,190,22,2/28/1995,1,Georgia Southern,15,63,3,3,1670000,30000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Carlos,Hyde,HB,84,88,90,91,81,80,82,85,68,84,35,35,30,20,15,30,57,64,59,62,65,60,25,25,25,70,87,86,90,Right,28,72,232,27,9/20/1990,4,Ohio State,2,25,4,1,3681678,1954933,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Jeremy,McNichols,HB,64,89,91,89,74,68,76,78,67,85,30,33,28,24,26,40,48,41,32,35,35,35,25,11,21,78,85,89,82,Right,33,69,214,21,12/26/1995,1,Boise State,5,34,2,2,1020000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Raheem,Mostert,HB,56,93,94,87,67,74,69,56,60,90,30,35,30,20,15,30,38,49,35,39,42,40,35,25,25,85,89,87,81,Right,31,70,196,25,4/9/1992,3,Purdue,15,63,2,1,1140000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Joe,Williams,HB,61,92,89,91,72,77,77,80,64,84,30,26,20,14,23,28,49,29,37,35,35,34,33,11,11,75,91,94,81,Right,32,71,205,24,9/4/1993,1,Utah,4,25,4,4,3029384,629384,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Robbie,Gould,K,57,60,64,52,25,27,40,10,15,27,29,35,30,25,20,20,16,20,16,16,20,20,23,94,85,10,75,90,65,Right,9,72,190,35,12/6/1982,13,Penn State,15,63,2,2,4000000,1000000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Ronald,Blair III,LE,55,77,86,75,84,22,43,42,45,85,22,6,6,6,6,20,46,45,46,44,44,45,78,20,19,9,79,91,88,Right,98,76,270,24,1/21/1993,2,Appalachian State,5,3,4,3,2610000,270000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,DeForest,Buckner,LE,77,71,81,83,81,28,44,45,40,84,22,6,6,6,6,18,46,45,46,44,44,45,86,20,19,11,92,91,88,Right,99,79,300,23,3/17/1994,2,Oregon,1,7,4,3,18190990,18190990,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Tank,Carradine,LE,74,80,87,81,83,35,50,54,45,78,20,6,6,6,6,30,45,45,45,45,45,45,81,19,15,10,80,81,84,Right,95,76,270,27,2/18/1990,5,Florida State,2,8,2,1,2650000,2279684,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Zane,Beadles,LG,82,60,70,55,83,18,25,10,25,17,33,6,6,6,6,25,72,72,81,85,78,82,28,22,21,10,80,93,94,Right,68,76,305,31,11/19/1986,8,Utah,2,13,3,2,9750000,2800000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Brandon,Fusco,LG,73,64,78,64,89,18,40,10,27,60,27,6,6,6,6,22,73,73,81,67,79,89,47,24,22,10,79,84,74,Right,63,76,306,29,7/26/1988,7,Slippery Rock,6,12,1,1,1100000,250000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Laken,Tomlinson,LG,74,66,82,57,87,10,25,15,20,81,20,6,6,6,6,20,77,72,85,72,92,83,35,20,20,10,77,92,84,Right,75,75,312,25,2/9/1992,3,Duke,1,28,4,2,8550248,6949304,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Eli,Harold,LOLB,63,86,88,83,78,30,55,43,54,85,25,6,6,6,6,25,45,45,45,45,45,45,77,20,20,10,83,92,78,Right,57,75,265,23,1/20/1994,3,Virginia,3,15,4,2,3071372,697372,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Dekoda,Watson,LOLB,64,84,90,84,65,45,35,25,57,88,25,6,6,6,6,40,45,45,45,45,45,45,73,22,22,10,89,84,64,Right,97,74,245,29,3/3/1988,8,Florida State,7,25,3,3,4500000,1000000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Joe,Staley,LT,92,74,83,74,92,25,61,10,62,78,18,6,6,6,6,24,78,83,85,95,95,99,25,20,22,10,94,90,86,Right,74,77,315,33,8/30/1984,11,Central Michigan,1,28,6,3,44650000,10000000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Brock,Coyle,MLB,69,85,89,80,77,22,60,42,63,87,27,6,6,6,6,25,45,45,45,45,45,45,79,29,19,15,88,93,87,Right,50,73,245,27,10/12/1990,4,Montana,15,63,1,1,1450000,400000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Mark,Nzeocha,MLB,65,83,86,84,76,35,58,44,63,82,25,6,6,6,6,25,45,45,45,45,45,45,81,20,20,10,85,76,74,Right,46,75,240,27,1/19/1990,3,Wyoming,7,44,1,1,615000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Bradley,Pinion,P,55,66,64,62,55,19,40,15,39,70,52,51,42,32,24,45,25,29,20,20,21,21,29,91,76,10,85,92,55,Right,5,77,229,23,6/1/1994,3,Clemson,5,37,4,2,2474200,194200,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,C.J.,Beathard,QB,63,78,81,77,64,59,61,48,30,83,91,83,77,75,81,73,21,14,26,26,19,19,28,20,15,5,92,86,81,Right,3,74,217,24,11/16/1993,1,Iowa,3,40,4,4,3528646,706288,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Jimmy,Garoppolo,QB,75,74,82,75,63,47,63,42,35,78,90,86,81,77,80,76,10,10,10,10,10,10,16,20,10,10,93,93,90,Right,10,74,225,26,11/2/1991,4,Eastern Illinois,2,30,4,1,3483898,1103744,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Arik,Armstead,RE,73,69,81,74,85,26,46,44,39,83,35,6,6,6,6,32,45,45,45,45,45,45,85,30,30,10,73,87,81,Right,91,79,284,24,11/15/1993,3,Oregon,1,17,4,2,9842628,9842628,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Elvis,Dumervil,RE,91,75,82,78,78,37,40,40,49,73,34,6,6,6,6,40,45,45,45,45,45,45,77,20,19,12,90,83,84,Right,58,71,253,33,1/19/1984,12,Louisville,4,30,2,2,8000000,1500000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Aaron,Lynch,RE,75,83,89,74,76,15,45,40,50,76,10,6,6,6,6,10,45,45,45,45,45,45,78,25,21,10,79,88,69,Right,59,78,270,24,3/8/1993,4,South Florida,5,22,4,1,2418000,198000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Cassius,Marsh,RE,69,83,84,75,66,25,55,60,46,83,25,6,6,6,6,19,45,45,45,45,45,45,71,20,21,10,86,92,85,Right,54,76,245,25,7/7/1992,4,UCLA,4,12,4,1,2690252,470252,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Joshua,Garnett,RG,75,62,77,57,84,14,43,31,33,67,21,6,6,6,6,22,72,72,80,72,82,78,38,20,20,8,91,90,81,Right,65,77,321,23,2/21/1994,2,Stanford,1,28,4,3,9304310,7585541,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Erik,Magnuson,RG,64,60,79,68,81,24,24,36,33,64,27,6,6,6,6,23,76,71,75,79,75,70,31,27,15,10,83,79,89,Right,62,77,305,23,1/5/1994,1,Michigan,15,63,3,3,1669000,14000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Reuben,Foster,ROLB,71,83,85,85,84,32,55,42,66,81,24,6,6,6,6,25,45,45,45,45,45,45,85,14,22,10,88,77,85,Right,56,73,228,23,4/4/1994,1,Alabama,1,31,4,4,9035568,7677444,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Elijah,Lee,ROLB,57,82,89,82,69,35,56,29,61,90,26,6,6,6,6,20,45,45,45,45,45,45,80,28,28,10,87,93,86,Right,47,74,229,21,2/8/1996,1,Kansas State,7,40,2,2,1020000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Malcolm,Smith,ROLB,81,86,86,82,73,64,40,40,72,84,27,6,6,6,6,30,45,45,45,45,45,45,82,20,20,11,82,88,75,Right,51,72,225,28,7/5/1989,7,USC,7,50,5,5,26500000,11500000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Pita,Taumoepenu,ROLB,56,83,87,86,78,37,38,31,44,73,10,6,6,6,6,22,45,45,45,45,45,45,71,21,20,10,85,92,87,Right,55,73,244,23,3/9/1994,1,Utah,6,42,4,4,2545456,145456,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Trent,Brown,RT,77,63,75,60,91,10,32,35,35,75,25,6,6,6,6,25,81,72,84,66,88,74,40,20,20,10,73,85,76,Right,77,80,355,24,4/13/1993,3,Florida,7,52,4,2,2335892,55892,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Garry,Gilliam,RT,75,71,85,63,84,11,35,15,25,84,23,6,6,6,6,14,73,72,78,80,78,79,38,17,18,10,79,84,75,Right,76,77,315,27,11/26/1990,4,Penn State,15,63,1,1,2200000,1250000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Darrell,Williams,RT,53,64,80,55,84,13,24,29,28,72,26,6,6,6,6,24,72,74,75,70,75,75,33,20,16,10,81,87,91,Right,78,78,310,24,3/24/1993,1,Western Kentucky,15,63,2,2,1020000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Adrian,Colbert,SS,56,89,93,83,61,64,57,38,66,81,27,6,6,6,6,26,45,45,43,44,43,44,60,18,17,62,88,89,79,Right,38,74,205,24,10/6/1993,1,Miami (Fla.),7,37,4,4,2484800,84800,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Tyvis,Powell,SS,47,91,89,87,69,53,62,40,70,82,26,15,10,10,15,25,44,44,44,43,44,43,68,20,19,48,91,88,79,Right,45,74,211,23,2/16/1994,2,Ohio State,15,63,1,1,540000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Eric,Reid,SS,78,88,92,85,72,42,64,64,72,94,25,15,10,10,15,29,45,45,45,45,45,45,67,20,21,60,89,90,80,Right,35,73,213,26,12/10/1991,5,LSU,1,18,5,1,14156754,14156754,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Jaquiski,Tartt,SS,71,89,90,80,65,42,62,57,64,83,21,6,6,6,6,23,45,45,45,45,45,45,67,19,22,35,85,92,86,Right,29,73,221,25,2/12/1992,3,Samford,2,14,4,2,5037014,2972239,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Garrett,Celek,TE,75,80,85,76,73,64,72,64,78,83,30,15,10,6,10,30,57,55,52,57,53,60,35,15,15,35,84,80,76,Right,88,77,252,29,5/29/1988,6,Michigan State,15,63,4,3,10000000,3500000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Cole,Hikutini,TE,50,77,84,73,71,63,74,47,83,83,23,15,10,6,10,21,59,62,44,52,55,57,31,18,22,15,85,91,82,Right,83,76,247,23,6/11/1994,1,Louisville,15,63,2,2,1020000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,George,Kittle,TE,57,87,88,76,71,59,76,71,75,91,30,20,15,10,10,25,63,71,55,54,66,64,34,19,22,15,85,88,80,Right,85,76,249,24,10/9/1993,1,Iowa,5,18,4,4,2698296,298296,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Kyle,Nelson,TE,66,82,85,70,68,11,70,19,60,66,10,10,10,10,10,14,62,51,66,62,72,64,45,11,14,15,77,92,75,Right,86,74,240,31,10/3/1986,7,New Mexico State,15,63,4,2,3480000,600000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Logan,Paulsen,TE,75,73,81,71,76,42,68,64,69,67,25,15,10,6,10,22,62,78,62,60,72,68,39,29,19,15,87,89,82,Right,82,77,268,30,2/26/1987,8,UCLA,15,63,1,1,775000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Victor,Bolden Jr,WR,51,88,90,90,44,81,64,32,78,78,37,38,32,25,37,33,32,43,30,34,31,35,26,22,24,82,91,91,73,Right,17,68,178,22,4/4/1995,1,Oregon State,15,63,3,3,1673000,43000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Kendrick,Bourne,WR,58,87,91,93,65,78,74,42,79,86,28,15,13,10,10,30,48,46,50,44,48,44,27,23,22,67,86,80,84,Right,84,73,203,22,8/4/1995,1,Eastern Washington,15,63,3,3,1670000,25000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Aaron,Burbridge,WR,65,89,89,86,69,62,69,69,76,86,27,15,10,6,10,20,42,52,36,34,44,44,29,23,22,35,88,90,81,Right,13,73,208,23,12/23/1993,2,Michigan State,6,53,4,3,2440356,100356,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Pierre,Garcon,WR,92,89,91,87,66,82,74,61,93,90,35,15,10,6,10,35,40,62,55,45,60,65,35,30,30,77,94,90,72,Right,15,72,211,31,8/8/1986,10,Mount Union,6,45,5,5,47500000,17000000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Marquise,Goodwin,WR,76,95,96,91,42,72,73,38,79,87,34,15,10,6,10,32,32,61,35,34,39,39,25,21,20,83,90,86,67,Right,11,69,179,27,11/19/1990,5,Texas,3,14,2,2,6000000,4450000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Max,McCaffrey,WR,42,90,92,86,64,67,63,68,75,86,21,15,10,6,10,28,35,43,40,42,40,48,33,20,22,79,88,87,95,Right,13,74,200,23,5/17/1994,2,Duke,15,63,2,2,1020000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49ers,Louis,Murphy,WR,77,88,91,86,57,87,72,46,78,93,23,15,10,6,10,28,29,50,29,29,57,53,28,24,21,65,91,77,88,Right,18,74,200,30,5/11/1987,9,Florida,4,28,1,1,900000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
