PRL2,PLHA,TLHA,PRHA,TRHA,PTHA,PFNA,PLNA,PTSA,PVSB,PCON,TotPerYearAvg,NoBonPerYrAvg,PKAC,PACC,PMPC,PHED,PGID,TGID,POID,PSPD,PAGE,PBRE,PEYE,PTGH,PCPH,PLSH,PRSH,PCTH,PLTH,PRTH,PAGI,PSKI,PDPI,PPTI,PINJ,PTAK,PPBK,PRBK,PNEK,PFMK,PBTK,PTAL,PHCL,PUCL,PLEL,TLEL,PREL,TREL,PCOL,PROL,PLPL,PGSL,PTSL,PHLM,PSTM,PHAN,PICN,PJEN,PTEN,PSBO,PVCO,PEGO,PFHO,PDRO,PTHP,PIMP,PJMP,PYRP,PSXP,PCAR,PTAR,PJER,PMOR,PKPR,PSTR,POVR,PAWR,PLWR,TLWR,PRWR,TRWR,PFAS,PMAS,PSBS,PFCS,PMCS,PFGS,PCHS,PFHS,PMHS,PVIS,PPOS,POPS,PLSS,PFTS,PMTS,PUTS,PVTS,PMUS,PHGT,PWGT,PCMT,PKRT,PYWT,PLHY,PJTY,PSTY,PFEx
45,4,4,4,4,19,Travis,Benjamin,150,132,3,50,6,14,89,3,10,27439,5,27439,98,23,0,1,74,0,0,0,66,0,0,89,2,5,25,80,29,21,31,0,8,25,6,0,0,0,0,0,0,115,45,100,0,0,0,22,0,0,11,2,132,3,70,0,4,28,99,83,2,0,59,0,1,88,17,42,68,65,2,2,2,2,0,5,59,0,15,10,10,0,10,1,3,3,5,0,5,5,150,0,70,15,999,61,0,-31,0,0,207
45,2,2,2,2,14,Leroy,Hill,120,108,2,60,6,16,85,0,0,27069,28,27069,79,31,0,0,86,0,0,0,41,0,0,74,2,34,1015,84,85,24,37,0,10,35,0,0,0,8,7,8,7,38,45,100,0,0,0,0,0,0,56,0,108,2,0,0,3,11,99,70,9,1159,45,0,1,98,14,75,80,74,2,0,2,0,5,10,39,0,10,10,10,5,15,1,15,13,10,5,25,10,120,0,73,78,781,9,2,-31,0,0,336
45,2,4,2,4,15,Antoine,Bethea,120,92,4,30,7,14,90,0,5,27338,10,27338,87,29,0,0,75,0,0,0,65,0,0,88,2,38,1015,94,81,34,39,0,7,39,0,0,0,0,8,0,8,81,45,100,2,2,0,45,0,0,41,1,92,4,92,0,6,12,99,87,8,0,65,0,1,95,14,65,93,85,0,0,0,0,0,10,44,5,15,10,5,5,15,0,17,18,5,5,15,10,120,0,71,43,999,52,1,-31,0,0,88
45,1,1,1,1,21,Todd,Davis,38,31,1,38,7,20,76,0,3,27419,4,27419,79,21,0,0,80,0,0,0,57,0,0,86,0,33,22,83,73,34,35,0,10,44,0,0,0,0,0,0,0,265,45,100,0,0,3,0,0,0,51,2,31,1,60,0,15,25,83,77,0,0,69,0,1,90,19,69,65,63,0,0,0,0,0,15,44,0,15,3,15,5,15,0,14,2,10,5,15,10,38,0,73,70,999,10,0,-31,0,0,186
45,3,3,3,3,15,Ben,Obomanu,60,36,3,20,8,15,86,0,4,27464,28,27464,90,30,0,0,78,0,0,0,75,0,0,85,2,41,1015,87,26,20,31,0,0,42,0,0,0,8,8,8,8,14,45,100,3,3,0,40,0,0,87,2,36,3,90,0,7,15,90,88,8,0,73,0,1,87,16,60,73,69,0,0,0,0,0,10,49,0,15,10,5,0,10,0,3,3,10,0,5,5,60,0,73,44,999,28,1,-31,0,0,295
45,2,2,2,2,19,Jason,Avant,99,75,3,33,8,10,86,0,5,27354,13,27354,82,31,0,0,93,0,0,0,82,0,0,84,2,12,1015,95,28,28,33,0,1,54,0,0,0,0,0,0,0,117,45,100,0,0,0,42,0,0,81,2,75,3,60,0,4,14,99,83,8,507,79,0,1,96,19,69,77,77,0,0,0,0,5,5,44,5,15,10,15,10,15,0,3,3,5,5,10,5,99,0,72,52,999,55,1,-31,0,0,54
45,2,2,2,2,12,Geoff,Hangartner,103,78,3,34.33333333,8.333333333,10,62,0,4,26619,21,26619,54,31,0,0,86,0,0,0,18,0,0,60,0,33,1015,82,22,86,82,0,3,20,0,2,0,2,2,2,2,215,45,100,0,0,0,0,0,0,63,1,78,3,55,0,5,16,99,51,9,855,10,0,0,82,14,83,80,83,2,2,2,2,15,10,24,15,15,5,20,20,10,0,6,8,15,15,25,10,103,0,77,140,999,2,2,-31,0,0,71
45,2,2,2,2,11,Roy,Miller,118,93,3,39.33333333,8.333333333,17,74,0,0,27853,6,27853,64,26,0,0,82,0,0,0,11,0,0,53,1,17,30,93,73,21,25,0,3,10,0,0,0,0,0,0,0,214,45,100,0,0,2,29,0,0,90,2,93,3,50,0,3,14,32,40,5,0,14,0,1,92,15,88,74,62,2,2,2,2,10,10,9,15,15,10,20,20,15,0,12,12,10,15,35,10,118,0,74,150,1023,0,0,-31,0,0,88
45,2,2,2,2,14,Keith,Rivers,160,120,4,40,10,15,85,0,5,27379,3,27379,85,27,0,0,84,0,0,0,49,0,0,79,2,9,17,80,79,33,37,0,3,40,0,2,0,7,7,7,7,231,45,100,2,3,0,40,0,0,56,0,120,4,0,0,1,22,99,86,6,0,53,0,1,92,18,72,82,77,0,0,0,0,0,10,39,0,10,10,15,0,15,0,13,13,10,0,15,10,160,0,74,75,999,21,0,-31,0,0,476
45,3,3,3,3,12,Brandon,Mebane,200,156,4,50,11,15,75,0,4,27968,28,27968,60,28,0,0,91,0,0,0,24,0,0,59,2,22,1015,81,75,30,42,0,3,25,0,0,0,0,0,0,0,28,45,100,0,0,2,19,0,0,92,2,156,4,0,0,3,16,82,56,7,0,24,0,1,90,17,90,83,80,0,0,0,0,10,10,14,10,15,10,10,10,20,0,12,12,15,15,40,10,200,0,73,151,821,5,0,-31,0,0,65
45,2,2,2,2,16,Brandon,LaFell,85,74,1,85,11,15,88,0,5,17323,21,17323,87,27,0,1,81,0,0,0,78,0,0,86,2,18,1,93,29,29,32,0,1,55,0,0,0,7,8,7,8,106,36,100,0,0,0,0,0,0,11,2,74,1,85,0,4,19,24,85,4,0,85,0,1,90,17,67,75,64,0,0,0,0,0,5,54,0,10,10,5,0,10,0,3,3,10,0,10,5,85,0,74,50,999,80,0,-31,0,0,2
45,4,4,4,4,25,Courtney,Greene,60,36,2,30,12,13,89,0,6,28122,17,28122,87,27,0,0,79,0,0,0,61,0,0,87,2,63,1009,87,76,23,33,0,7,29,0,0,0,0,0,0,0,175,30,100,2,3,0,40,0,0,36,2,36,2,80,0,15,20,66,87,5,0,51,0,1,90,10,68,81,67,2,0,2,0,0,10,44,0,10,10,10,5,15,0,18,16,5,0,10,5,60,0,72,55,999,40,0,-31,0,0,92
45,6,6,6,6,16,Quanterus,Smith,120,72,4,30,12,14,80,3,4,27431,4,27431,78,24,0,0,80,0,0,0,45,0,0,79,2,13,24,80,76,29,38,1,3,34,0,0,0,7,7,7,7,245,39,100,0,0,0,30,0,0,93,2,72,4,90,0,5,15,52,69,1,0,54,0,1,90,12,60,76,54,4,4,4,4,5,10,49,5,10,10,10,10,15,0,10,11,10,5,15,10,120,0,77,95,999,17,0,-31,1,0,33
45,2,2,1,1,24,Paul,Soliai,120,84,3,40,12,14,69,0,4,28025,12,28025,56,30,0,0,82,0,0,0,29,0,0,59,0,9,1015,84,86,57,68,0,12,25,0,0,0,0,0,0,0,233,45,100,0,0,4,1,0,0,96,0,84,3,0,0,4,19,99,55,7,0,42,0,0,90,10,91,86,78,0,0,0,0,15,15,0,20,20,5,10,15,20,0,12,12,25,15,40,15,120,0,76,195,999,2,0,-31,0,0,336
45,2,2,2,2,12,Lestar,Jean,80,56,2,40,12,17,82,0,5,14143,32,14143,87,25,0,0,78,1,0,0,80,0,0,79,2,33,9,79,25,34,46,0,0,57,0,0,0,0,0,0,0,265,45,100,0,0,0,0,0,0,18,0,56,2,84,0,15,14,24,81,2,0,74,0,1,80,16,64,72,62,0,2,0,2,0,5,49,0,10,10,15,0,10,0,3,3,10,0,0,5,80,0,75,52,171,36,0,-31,0,0,186
45,4,4,4,4,19,Vincent,Jackson,250,196,4,62.5,13.5,15,84,0,7,26741,6,26741,91,30,0,0,86,0,0,0,86,0,0,90,2,29,1015,87,38,37,37,0,7,52,0,0,0,0,0,0,0,136,36,100,0,0,0,0,0,0,83,2,196,4,80,0,2,43,99,91,9,313,80,0,1,93,26,70,85,84,2,0,2,0,0,10,49,5,10,10,10,10,15,0,3,3,10,5,5,5,250,0,77,70,999,44,2,-31,0,0,265
45,4,4,4,4,17,Doug,Baldwin,36,22,1,36,14,14,89,0,5,28064,28,28064,89,25,0,0,80,0,0,0,76,0,0,93,2,63,2,84,27,24,35,0,7,60,0,0,0,0,0,0,0,200,45,100,1,1,0,80,0,0,89,2,22,1,90,0,15,14,24,76,3,0,67,0,1,70,18,57,75,67,0,2,0,2,5,5,59,0,10,10,15,0,10,0,3,3,15,0,15,5,36,0,70,29,999,55,0,-31,0,0,39
45,2,2,2,2,16,Rashard,Mendenhall,51,37,1,51,14,17,89,0,0,16700,29,16700,91,26,0,1,86,1,0,0,65,0,0,85,2,23,1015,80,26,28,31,0,13,87,0,0,0,0,0,0,0,84,45,100,0,0,4,0,0,0,34,2,37,1,35,0,1,18,26,75,6,0,76,5,1,95,17,72,84,82,2,2,2,2,0,10,39,5,15,10,15,10,15,0,1,1,15,0,15,10,51,0,70,65,999,28,4,-31,0,0,65
45,4,4,4,4,33,Mark,Barron,120,60,4,30,15,25,90,0,10,28131,6,28131,88,24,0,0,92,0,0,0,69,0,0,84,2,7,1,90,82,31,38,0,8,35,0,0,0,0,0,0,0,3,45,100,2,2,0,80,0,0,24,2,60,4,80,0,1,31,99,87,2,0,65,0,1,90,22,67,80,55,0,0,0,0,5,10,49,5,15,10,10,10,15,0,18,18,15,5,15,10,120,0,73,53,999,53,0,-31,0,0,42
45,3,3,3,3,15,Jared,Veldheer,90,45,3,30,15,14,74,0,7,27105,23,27105,64,26,1,0,80,0,0,0,18,0,0,68,0,5,1009,86,23,89,88,1,3,18,0,2,0,0,0,0,0,265,45,100,0,0,0,45,0,0,68,2,45,3,0,0,3,12,6,65,4,0,29,0,0,87,14,90,83,70,0,0,0,0,15,10,29,5,10,5,15,10,15,0,5,5,10,10,20,10,90,0,80,161,999,6,2,-31,0,0,63
45,2,2,2,2,25,James,Anderson,99,54,3,33,15,10,84,0,5,27411,14,27411,84,31,0,1,85,0,0,0,42,0,0,83,2,24,1015,89,80,35,35,1,3,29,0,0,0,7,8,7,8,241,45,100,0,0,0,1,0,0,50,0,54,3,70,0,3,27,64,89,8,0,50,0,1,85,11,73,84,82,1,1,2,2,0,10,44,0,10,10,15,5,15,0,15,15,10,5,15,10,99,0,74,75,999,10,1,-31,0,0,29
45,2,3,2,3,14,DeMarcus,Van Dyke,160,100,4,40,15,18,95,0,5,27343,29,27343,98,24,0,0,77,0,0,0,50,0,0,86,2,17,11,82,47,19,28,0,8,22,0,0,0,0,0,0,0,115,45,100,0,0,0,55,0,0,30,2,100,4,62,0,3,17,37,75,3,0,78,0,1,84,15,46,67,53,2,2,2,2,0,5,69,0,15,10,10,0,10,0,16,17,15,0,10,5,160,0,73,27,999,44,0,-31,0,0,186
45,2,2,2,2,12,Owen,Daniels,150,105,3,50,15,15,86,0,7,27487,32,27487,84,31,0,0,89,0,0,0,87,0,0,85,0,1,1015,70,37,40,44,0,3,45,0,2,0,0,0,0,0,258,45,100,0,0,0,32,0,0,81,1,105,3,54,0,4,17,99,78,8,0,78,0,1,91,14,69,82,85,2,2,2,2,5,10,39,0,10,10,10,5,10,0,4,4,10,0,15,10,150,0,75,89,999,24,1,-31,0,0,328
45,0,0,0,0,84,Christian,Ponder,154,92,4,38.5,15.5,15,86,0,7,26671,31,26671,77,25,0,0,90,0,0,0,29,0,0,79,0,12,23,79,20,17,27,0,0,39,0,2,0,0,0,0,0,64,45,100,1,1,0,40,0,0,7,2,92,4,75,0,1,85,41,70,3,0,63,0,1,87,14,62,80,70,0,0,0,0,0,5,49,0,10,10,10,0,10,0,0,0,10,0,10,5,154,0,74,69,725,0,0,-31,0,0,132
45,4,4,4,4,12,Adrian,Clayborn,92,45,3,30.66666667,15.66666667,11,79,0,4,27137,6,27137,77,25,0,0,85,0,0,0,28,0,0,75,2,12,16,88,84,33,39,0,12,10,0,0,0,0,0,0,0,89,45,100,6,6,4,0,0,0,94,0,45,3,0,0,1,15,99,67,3,0,13,0,1,100,13,85,89,61,3,0,3,0,10,10,34,10,15,10,10,10,15,0,11,11,10,10,15,10,92,0,75,127,999,0,0,-31,0,0,210
45,0,0,0,0,13,John,Moffitt,28,12,1,28,16,11,67,0,9,24170,28,24170,53,27,0,0,79,0,0,0,13,0,0,57,0,11,1009,83,20,82,89,0,3,13,0,2,0,0,0,0,0,258,45,100,0,0,0,55,0,0,74,0,12,1,60,0,3,14,9,57,3,0,19,0,0,100,13,88,78,63,2,2,2,2,10,10,29,10,15,5,20,10,15,0,8,9,10,10,40,10,28,0,76,159,999,5,0,-31,0,0,418
45,3,3,3,3,9,Tyson,Clabo,58,26,2,29,16,8,74,0,7,17382,14,17382,60,31,0,0,87,0,0,0,15,0,0,58,0,63,1009,85,31,88,95,0,3,20,0,0,0,0,0,0,0,249,45,100,0,0,0,0,0,0,77,0,26,2,81,0,15,9,92,29,9,557,10,0,0,96,8,90,91,91,2,2,2,2,15,10,14,10,10,5,20,10,15,0,9,8,20,10,20,10,58,0,78,169,999,4,1,-31,0,0,172
45,4,4,4,4,19,DeMario,Davis,36,20,1,36,16,15,93,0,3,27544,18,27544,91,24,0,0,77,0,0,0,37,0,0,87,2,14,2,84,70,30,36,0,8,27,0,0,0,0,0,0,0,12,45,100,0,0,0,0,0,0,49,2,20,1,64,0,3,21,99,92,2,0,45,0,0,95,18,71,70,44,0,2,0,2,0,10,44,0,10,10,15,5,15,0,13,13,10,0,10,5,36,0,74,75,999,22,0,-31,0,0,105
45,1,1,1,1,14,Doug,Free,120,72,3,40,16,11,82,0,5,27967,11,27967,68,30,0,0,86,0,0,0,40,0,0,72,0,23,1015,89,41,92,84,0,12,22,0,2,0,0,0,0,0,137,45,100,2,0,4,40,0,0,68,2,72,3,0,0,4,17,99,74,7,0,50,0,0,90,10,85,86,81,2,2,2,2,15,10,19,15,25,5,15,10,20,0,5,5,25,10,30,10,120,0,78,163,999,3,0,-31,0,0,152
45,1,1,1,1,15,Bryce,Harris,160,96,4,40,16,12,69,0,7,28015,27,28015,59,24,0,0,82,0,0,0,19,0,0,70,0,33,1015,82,29,82,79,0,12,16,0,2,0,0,0,0,0,66,45,100,2,0,4,40,0,0,79,2,96,4,0,0,15,17,11,61,2,0,20,0,0,90,14,85,67,50,2,2,2,2,5,10,29,5,10,5,15,10,15,0,5,6,15,10,30,10,160,0,78,140,999,3,0,-31,0,0,157
45,2,2,2,2,13,Juron,Criner,150,102,3,50,16,16,85,0,4,26746,23,26746,86,24,0,0,77,0,0,0,72,0,0,83,2,32,30,79,27,29,39,0,0,48,0,0,0,0,0,0,0,8,45,100,0,0,0,0,0,0,84,2,102,3,82,0,5,18,99,81,2,0,63,0,1,95,17,62,68,59,2,2,2,2,0,5,54,0,5,10,10,5,10,0,3,3,10,0,10,5,150,0,75,61,999,37,0,-31,1,0,204
45,2,2,2,2,20,Daryl,Richardson,53,37,1,53,16,18,88,0,10,27836,24,27836,91,23,0,0,80,0,0,0,68,0,0,84,2,32,4,85,29,36,27,0,8,73,0,0,0,8,8,8,8,0,45,100,0,0,0,0,0,0,26,2,37,1,88,0,7,19,99,90,2,0,70,0,1,92,18,63,73,56,0,0,0,0,0,5,39,0,10,10,10,5,10,0,1,1,10,0,10,5,53,0,70,36,999,59,0,-31,1,0,20
45,3,3,3,3,20,Kayvon,Webster,220,156,4,55,16,18,92,0,5,27950,4,27950,91,22,0,1,85,0,0,0,63,0,0,86,2,28,1015,88,61,25,28,0,7,40,0,0,0,9,9,9,9,232,45,100,0,0,3,19,0,0,36,2,156,4,0,0,3,29,99,80,1,0,69,0,1,80,26,53,72,57,7,7,7,7,0,5,49,0,15,10,10,0,10,0,16,12,10,0,10,5,220,0,71,38,821,60,0,-31,0,0,11
45,4,4,4,4,20,Greg,Jennings,320,256,4,80,16,15,94,0,4,27397,20,27397,93,29,0,1,75,0,0,0,92,0,0,93,2,20,1015,90,22,28,29,0,8,55,0,0,0,8,8,8,8,246,36,100,0,0,0,25,0,0,85,2,256,4,0,0,2,19,99,91,8,0,72,0,1,95,14,55,92,92,0,0,0,0,0,5,44,0,10,10,5,0,10,0,3,3,10,5,10,5,320,0,71,38,999,67,1,-31,0,0,104
45,4,4,4,4,19,Cassius,Vaughn,92,42,3,30.66666667,16.66666667,9,92,0,5,27182,10,27182,95,26,0,0,74,1,0,0,58,0,0,89,2,63,1009,85,53,21,24,0,7,17,0,0,0,0,0,0,0,159,45,100,6,6,0,0,0,0,40,2,42,3,0,0,15,14,11,88,4,0,60,0,1,75,16,50,73,58,0,3,0,3,0,5,49,10,10,10,5,5,10,0,16,18,5,5,10,5,92,0,71,35,1023,79,3,-31,0,0,61
45,2,3,2,3,15,Ricky,Brown,23,6,1,23,17,15,85,0,7,27881,25,27881,82,30,0,1,79,0,0,0,44,0,0,78,0,63,23,81,67,20,31,0,12,26,0,2,0,0,0,0,0,20,45,100,0,0,4,0,0,0,47,2,6,1,54,0,15,18,99,60,8,0,48,0,1,90,18,71,69,75,3,3,3,3,5,10,44,0,10,10,20,5,15,0,14,13,10,5,10,10,23,0,74,75,999,12,0,-31,0,0,145
45,2,2,2,2,14,Jake,Bequette,96,45,3,32,17,15,79,0,7,27291,22,27291,71,24,0,0,78,0,0,0,39,0,0,75,2,27,1015,82,70,37,48,0,3,40,0,0,0,0,0,0,0,10,45,100,2,3,0,65,0,0,92,2,45,3,71,0,3,16,99,70,2,0,48,0,1,90,16,72,73,55,0,0,0,0,5,10,39,5,15,4,20,10,10,0,10,10,15,5,10,10,96,0,76,105,999,9,2,-31,0,0,122
45,1,1,1,1,18,Ben,Garland,99,48,3,33,17,21,62,0,7,27303,4,27303,66,25,0,1,80,0,0,0,42,0,0,72,0,33,1015,77,60,68,76,0,2,33,0,4,0,0,0,0,0,1,45,100,0,0,1,0,0,0,63,0,48,3,54,0,15,25,99,61,0,0,50,0,0,97,25,73,68,75,0,0,0,0,10,15,29,5,15,5,15,5,20,0,8,8,15,5,30,10,99,0,77,148,999,9,1,-31,0,0,136
45,7,7,7,7,13,Paul,Cornick,70,53,1,70,17,21,59,1,7,17348,4,17348,56,24,1,0,78,1,0,0,22,0,0,57,0,33,1015,80,29,80,76,1,10,24,0,2,0,9,9,9,9,270,45,100,0,0,3,0,0,0,71,2,53,1,74,0,15,18,53,47,2,0,30,0,1,92,21,82,64,56,2,2,2,2,15,15,39,10,15,15,10,15,15,1,9,4,10,15,15,10,70,0,78,150,769,8,3,-31,0,0,152
45,3,3,3,3,15,Adam,Snyder,130,78,3,43.33333333,17.33333333,16,65,0,9,26851,7,26851,50,31,0,1,93,0,0,0,20,0,0,54,0,30,1015,95,28,81,87,0,3,10,0,2,0,0,0,0,0,160,45,100,0,0,0,0,0,0,68,0,78,3,65,0,3,12,82,32,9,626,24,8,0,95,17,92,81,78,0,0,0,0,15,10,19,10,15,5,20,10,20,0,6,9,20,10,25,10,130,0,78,165,999,0,2,-31,0,0,166
45,2,2,2,2,15,Greg B.,Jones,250,180,4,62.5,17.5,14,85,0,10,17293,17,17293,85,32,0,0,82,1,0,0,56,0,0,82,2,23,1015,77,32,45,57,0,8,83,0,0,0,0,0,0,0,64,45,100,0,0,2,0,0,0,33,2,180,4,85,0,2,12,80,76,10,686,92,0,1,95,12,78,88,76,0,0,0,0,5,10,34,5,15,10,15,10,15,0,2,2,10,10,20,15,250,0,73,105,66,20,3,-31,0,0,514
45,1,1,1,1,12,Cameron,Jordan,96,42,3,32,18,12,80,0,2,27236,27,27236,76,24,0,0,83,0,0,0,32,0,0,77,2,24,1015,85,80,28,42,0,2,22,0,0,0,0,0,0,0,28,45,100,0,0,2,82,0,0,94,2,42,3,50,0,1,16,19,70,3,0,40,0,1,82,16,82,86,61,2,2,2,2,0,10,29,5,10,10,10,5,10,0,11,11,10,10,25,10,96,0,76,127,999,20,1,-31,0,0,102
45,2,2,2,2,14,Eric,Smith,99,45,3,33,18,12,90,0,5,27384,18,27384,84,30,0,0,80,0,0,0,57,0,0,85,0,33,1015,91,71,27,32,0,10,26,0,2,0,0,1,0,1,118,45,100,0,0,0,1,0,0,33,1,45,3,85,0,3,20,75,83,8,0,55,0,1,90,15,64,79,71,0,0,0,0,0,10,49,5,10,10,10,5,10,0,17,17,10,5,15,5,99,0,73,47,999,32,0,-31,0,0,139
45,3,2,3,2,15,Andrew,McDonald,105,51,3,35,18,13,60,0,4,26812,12,26812,55,25,0,0,79,0,0,0,11,0,0,57,0,33,30,79,15,83,82,0,3,12,0,0,0,0,0,0,0,86,45,100,0,0,0,0,0,0,67,2,51,3,60,0,15,14,99,55,2,0,18,0,0,95,16,85,66,46,0,0,0,0,5,10,19,10,5,5,15,10,10,0,5,5,10,10,20,10,105,0,78,150,999,7,0,-31,0,0,24
45,4,4,4,4,14,Nick,Toon,80,44,2,40,18,15,88,0,4,27554,27,27554,92,25,0,1,79,0,0,0,65,0,0,86,2,27,11,76,29,29,38,0,0,54,0,0,0,0,0,0,0,258,45,100,0,0,0,40,0,0,88,2,44,2,0,0,4,18,99,86,2,0,69,0,1,90,17,63,68,56,0,0,0,0,5,5,49,5,10,10,10,5,10,0,3,3,10,0,10,5,80,0,75,58,999,40,0,-31,0,0,256
45,2,2,2,2,15,Titus,Young,160,88,4,40,18,15,91,0,5,28141,19,28141,93,24,0,0,78,0,0,0,77,0,0,90,2,12,5,94,17,26,30,0,7,56,0,0,0,0,0,0,0,19,45,100,0,0,2,0,0,0,16,2,88,4,80,0,2,22,24,80,3,0,65,0,1,90,18,51,76,69,0,2,0,2,0,5,59,0,5,10,10,0,10,0,3,3,5,0,5,5,160,0,71,14,999,72,0,-31,0,0,2
